Cusip,Face Value
JDQI65A5,1000
RN5PI6NR,1000
4M2L9PG9,1000
C8R5M3SF,1000
930NAPFR,1000
4ACL3FG9,1000
6GJD5GNP,1000
IBLI8HI6,1000
CIL786I7,1000
O68KI1KI,1000
LHCBL6EO,1000
1PCP84H6,1000
8HC4FLJF,1000
QF9HH5H5,1000
AMOB0BD0,1000
GBOKO325,1000
A3I0QK5P,1000
91BGICFB,1000
H8QHQ5OA,1000
SKMNPJ32,1000
1F77BFCS,1000
KI5F3OI4,1000
F198NQ65,1000
0M0ONAFS,1000
E5AH4SQP,1000
CQ1GF7E4,1000
PRC40O6L,1000
M6K6O63E,1000
DJKCAH39,1000
C12A0F20,1000
6QO6P4N3,1000
HCKQGBPC,1000
DALQ3BL5,1000
ONIEAS1L,1000
NP51SCJ3,1000
HBLRPGQN,1000
5MAAI4P6,1000
JP54AGH7,1000
AEID4EPH,1000
C82IELDK,1000
JA45HH4J,1000
1A8E8R6P,1000
CEER2670,1000
899NR8PJ,1000
F462O0R0,1000
A3RHLM9M,1000
J6E8EK59,1000
E1MJ90L6,1000
MH7ILRDK,1000
E02PA498,1000
I6PCFKGB,1000
MBBKADFK,1000
0BS27JJP,1000
H0O253P6,1000
70PIJSFQ,1000
HQJP8892,1000
OM4PQSL1,1000
NDPR9ODD,1000
1LS926F7,1000
OH2HSB61,1000
12NBQJJP,1000
ESPMNOBB,1000
G4KM21JQ,1000
E7QOG4O3,1000
RPGA982Q,1000
OE1DG8I4,1000
5E296SCN,1000
QIM1G806,1000
L73AH91G,1000
4SD1GQB8,1000
S835LRM3,1000
EAAQJ2SC,1000
KEMK05H5,1000
5SCD30LF,1000
CEJN5S6A,1000
FO6D956F,1000
Q3L53MQC,1000
H105F3IK,1000
6ODG97AR,1000
HAKL9LNL,1000
SSRJFQ8L,1000
HRQELLDH,1000
PE4P6737,1000
NDRQ5LSO,1000
3K0GJEQ2,1000
HMK0I3PO,1000
0FENISQA,1000
1HMQ03RD,1000
73LBEBE6,1000
LMA74G27,1000
J0OI7FQ4,1000
04JAIE8G,1000
86D2HI9N,1000
44C9DPJM,1000
DGP9HNG1,1000
CEONAHBS,1000
LK9PQFFK,1000
B50MD3S3,1000
AIR1BK2G,1000
JB6E83KM,1000